,NW,SE,dipole,dipole_std
1900-01-01,-1.1015806566807669,2.137263843255914,-3.2388444999366808,-1.9469041921773391
1900-02-01,-1.2412479288847582,2.1666435523257404,-3.4078914812104983,-2.0485201470412897
1900-03-01,-0.919995454694578,2.4066118001928833,-3.3266072548874615,-1.9996593261561542
1900-04-01,-0.40364728240823844,2.257692126452816,-2.6613394088610542,-1.5997596834363748
1900-05-01,-0.1140877322896427,1.178442164539078,-1.2925298968287207,-0.7769535940053856
1900-06-01,-0.5682172563903863,0.9015068264248515,-1.4697240828152378,-0.8834669210679679
1900-07-01,-0.7786796952517615,1.252580087814588,-2.0312597830663495,-1.2210120575811596
1900-08-01,-0.4427787571933332,0.9588074462500811,-1.4015862034434143,-0.8425085104379822
1900-09-01,-0.474252439770204,0.29808590577350186,-0.7723383455437058,-0.46426086919200593
1900-10-01,-0.9776549237972414,0.337000777010235,-1.3146557008074764,-0.7902536522583754
1900-11-01,-1.118966507211587,0.4505833027539732,-1.5695498099655603,-0.9434732371105915
1900-12-01,-0.5997128631167283,0.6548232164846056,-1.2545360796013338,-0.7541151026735957
1901-01-01,-0.07690855081462022,0.7522204156783643,-0.8291289664929845,-0.49839832099145676
1901-02-01,-0.12518343993640607,1.6123816899571077,-1.7375651298935137,-1.0444690492664837
1901-03-01,-0.7407811928726532,1.468498537771867,-2.20927973064452,-1.3280217587995744
1901-04-01,-1.3857238978728097,1.1342544301211577,-2.519978327993967,-1.514786020466068
1901-05-01,-2.169977868649826,0.7982581345508889,-2.968236003200715,-1.7842385202859101
1901-06-01,-1.4894700171785895,0.7430764396516385,-2.232546456830228,-1.3420076376369445
1901-07-01,-1.1830862923584886,0.630349633589546,-1.8134359259480346,-1.0900757991136178
1901-08-01,-0.6948751559008962,0.2986808346950266,-0.9935559905959228,-0.5972371700129252
1901-09-01,-0.900332624640086,0.26948041927278277,-1.1698130439128689,-0.7031871765693671
1901-10-01,-0.8660923232013487,0.47147101269737574,-1.3375633358987244,-0.8040236775846581
1901-11-01,-0.4476803706108678,0.7121890339998651,-1.159869404610733,-0.697209948257478
1901-12-01,-0.24610765235658622,0.1939570450841323,-0.4400646974407185,-0.26452761294756105
1902-01-01,-0.4223391858432832,0.06984509240052834,-0.49218427824381156,-0.29585725237978794
1902-02-01,-0.6338863480999334,0.09677988809422523,-0.7306662361941586,-0.4392113169856274
1902-03-01,-0.05405419100136278,0.028444559231396525,-0.08249875023275931,-0.049590884243034934
1902-04-01,-0.14657096974931536,-0.012409943283733101,-0.13416102646558226,-0.08064563298971698
1902-05-01,-0.9558497911372575,0.010507044761857355,-0.9663568358991149,-0.5808874661898702
1902-06-01,-1.2832890515068431,0.7152044271637584,-1.9984934786706017,-1.2013158803205695
1902-07-01,-2.03123767476634,1.0315599186124513,-3.062797593378791,-1.8410805070933198
1902-08-01,-2.0100735624766157,1.2050102232263549,-3.2150837857029706,-1.9326213718222272
1902-09-01,-2.27560320076744,1.1943911494626982,-3.469994350230138,-2.085850848173419
1902-10-01,-2.6883963070505357,1.765074680007669,-4.453470987058205,-2.677029210452456
1902-11-01,-3.0590031737221897,2.1674014754723405,-5.22640464919453,-3.1416479308379555
1902-12-01,-3.5374549316436563,2.8222389244237007,-6.3596938560673575,-3.822880236943783
1903-01-01,-3.080235146474563,2.4106051587072286,-5.490840305181791,-3.300603041900814
1903-02-01,-2.7796968175063843,2.373727715283937,-5.153424532790321,-3.097778799554956
1903-03-01,-2.4172582625235046,2.2594280149498673,-4.676686277473372,-2.8112063173422333
1903-04-01,-2.012347409978935,2.697776534156185,-4.71012394413512,-2.8313060576668017
1903-05-01,-1.2647923774028058,1.2960424979309226,-2.5608348753337284,-1.539345329594749
1903-06-01,-0.9473484411779431,1.2034536283768857,-2.150802069554829,-1.2928702090643307
1903-07-01,-0.968292267965836,1.018112895043737,-1.986405163009573,-1.1940494640300436
1903-08-01,-1.5817070020190018,0.44806504197655933,-2.0297720439955613,-1.220117761657462
1903-09-01,-1.6357938787649444,0.1479682244791302,-1.7837621032440747,-1.072238545790281
1903-10-01,-1.188439960857981,-0.04147181361466284,-1.1469681472433182,-0.6894548639817526
1903-11-01,-0.806077574041187,-0.3061173871582096,-0.4999601868829774,-0.3005314345234123
1903-12-01,-0.7062329093341987,-0.4302293398418136,-0.2760035694923851,-0.1659087080318735
1904-01-01,-0.5177405562574012,-0.47854897786539274,-0.039191578392008486,-0.023558478423690857
1904-02-01,-0.6106467496602501,-0.15577966365998633,-0.4548670860002638,-0.2734254875881559
1904-03-01,-0.6909194129319848,-0.3536954014576961,-0.33722401147428865,-0.20270897280032651
1904-04-01,-1.1103252602985023,-0.15763779782584508,-0.9526874624726572,-0.5726706591066872
1904-05-01,-1.587641138475927,0.38726819602346435,-1.9749093344993913,-1.1871391981251933
1904-06-01,-1.4869017596690821,0.3582470742488031,-1.8451488339178852,-1.1091387684762544
1904-07-01,-1.6168086093298302,0.41593073050295964,-2.0327393398327898,-1.221901435033891
1904-08-01,-1.1622667024176006,-0.041651107262245905,-1.1206155951553547,-0.6736140620736552
1904-09-01,-0.1602046586991728,-0.18038364193510611,0.020178983235933312,0.012129803408803017
1904-10-01,-0.3574520554648825,0.08150732920466766,-0.4389593846695502,-0.26386319757723475
